Data;Último;Abertura;Máxima;Mínima;Var%
nov/12;2,135;2,031;2,1373;2,0296;5,14%
out/12;2,0306;2,0289;2,0445;2,0157;0,25%
set/12;2,0255;2,0304;2,0454;2,0066;-0,12%
ago/12;2,028;2,0568;2,057;2,0056;-1,38%
jul/12;2,0563;2,0062;2,057;1,9779;2,34%
jun/12;2,0092;2,0226;2,0995;2,0045;-0,64%
mai/12;2,0221;1,9044;2,1065;1,9044;5,98%
abr/12;1,908;1,8511;1,9118;1,8158;4,51%
mar/12;1,8257;1,7167;1,8374;1,7095;6,35%
fev/12;1,7167;1,749;1,7494;1,687;-1,70%
jan/12;1,7463;1,8656;1,8751;1,7316;-6,25%
dez/11;1,8627;1,8078;1,8884;1,7757;3,04%
nov/11;1,8078;1,7167;1,9143;1,713;5,31%
out/11;1,7167;1,8772;1,918;1,671;-8,61%
set/11;1,8785;1,5887;1,9499;1,5887;18,24%
ago/11;1,5887;1,5496;1,6585;1,545;2,60%
jul/11;1,5485;1,5616;1,5856;1,528;-0,85%
jun/11;1,5617;1,5783;1,6163;1,5573;-1,13%
mai/11;1,5795;1,5765;1,6458;1,5688;0,19%
abr/11;1,5765;1,6308;1,6308;1,5562;-3,37%
mar/11;1,6315;1,6635;1,6931;1,6207;-1,92%
fev/11;1,6635;1,6669;1,6862;1,6554;-0,21%
jan/11;1,667;1,6593;1,6965;1,6432;0,46%
