MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
ago/15;GNV;1292;R$/m3;2,099;0,187;1,579;3,09;0,539;0,089;1,56;0,206;1,177;2,347;0,132
set/15;OLEO DIESEL;7915;R$/l;2,809;0,153;2,48;3,64;0,279;0,054;2,53;0,116;2,104;3,11;0,046
set/15;OLEO DIESEL S10;8247;R$/l;2,957;0,143;2,599;3,7;0,318;0,048;2,639;0,108;2,256;3,245;0,041
set/15;ETANOL HIDRATADO;12475;R$/l;2,074;0,336;1,39;3,61;0,339;0,162;1,735;0,274;1,22;2,699;0,158
set/15;GASOLINA COMUM;13475;R$/l;3,277;0,201;2,749;4,16;0,415;0,061;2,862;0,14;2,471;3,395;0,049
set/15;GLP;14789;R$/13kg;52,918;7,049;35;80;17,7;0,133;35,218;7,476;19;58,9;0,212
set/15;GNV;1009;R$/m3;2,146;0,191;1,599;2,919;0,56;0,089;1,586;0,173;1,271;2,067;0,109
out/15;OLEO DIESEL;8633;R$/l;2,925;0,162;2,51;3,99;0,322;0,055;2,603;0,123;2,29;3,18;0,047
out/15;OLEO DIESEL S10;8994;R$/l;3,074;0,156;2,649;4,02;0,366;0,051;2,708;0,116;2,314;3,366;0,043
out/15;ETANOL HIDRATADO;13086;R$/l;2,365;0,272;1,67;3,79;0,369;0,115;1,996;0,245;1,445;2,862;0,123
out/15;GASOLINA COMUM;14226;R$/l;3,48;0,202;2,899;4,55;0,466;0,058;3,014;0,156;2,459;3,614;0,052
out/15;GLP;15112;R$/13kg;53,867;6,98;36;80;17,286;0,13;36,581;7,083;16,79;60;0,194
out/15;GNV;1012;R$/m3;2,183;0,186;1,769;2,799;0,58;0,085;1,603;0,166;1,283;2,16;0,104
nov/15;OLEO DIESEL;11193;R$/l;2,965;0,161;2,499;3,98;0,317;0,054;2,648;0,124;2,16;3,258;0,047
nov/15;OLEO DIESEL S10;11473;R$/l;3,112;0,156;2,59;4,02;0,361;0,05;2,751;0,118;2,39;3,418;0,043
nov/15;ETANOL HIDRATADO;16338;R$/l;2,578;0,271;1,89;3,8;0,363;0,105;2,215;0,242;1,577;3,252;0,109
nov/15;GASOLINA COMUM;17843;R$/l;3,576;0,199;2,959;4,8;0,462;0,056;3,114;0,149;2,59;3,702;0,048
nov/15;GLP;18420;R$/13kg;54,205;6,747;35;82;16,859;0,124;37,346;6,73;20,17;60;0,18
nov/15;GNV;1178;R$/m3;2,208;0,2;1,769;2,849;0,592;0,091;1,616;0,198;1,293;2,331;0,123
dez/15;OLEO DIESEL;15743;R$/l;2,985;0,157;2,489;3,95;0,323;0,053;2,662;0,115;2,29;3,26;0,043
dez/15;OLEO DIESEL S10;15871;R$/l;3,128;0,155;2,649;4,02;0,352;0,05;2,776;0,109;2,198;3,44;0,039
dez/15;ETANOL HIDRATADO;22409;R$/l;2,659;0,275;2,13;3,85;0,363;0,103;2,296;0,261;1,752;3,254;0,114
dez/15;GASOLINA COMUM;24507;R$/l;3,633;0,191;3,079;4,719;0,459;0,053;3,174;0,135;2,663;3,734;0,043
dez/15;GLP;24552;R$/13kg;54,071;6,831;35;83;16,557;0,126;37,514;6,759;16,79;60;0,18
dez/15;GNV;1474;R$/m3;2,225;0,215;1,599;3,09;0,605;0,097;1,62;0,203;1,324;2,332;0,125
jan/16;OLEO DIESEL;14961;R$/l;3,003;0,16;2,46;3,95;0,32;0,053;2,683;0,117;2,179;3,26;0,044
jan/16;OLEO DIESEL S10;14858;R$/l;3,148;0,158;2,649;4,02;0,348;0,05;2,8;0,115;2,33;3,44;0,041
jan/16;ETANOL HIDRATADO;20842;R$/l;2,718;0,304;2,179;3,955;0,349;0,112;2,369;0,265;1,917;3,462;0,112
jan/16;GASOLINA COMUM;22761;R$/l;3,676;0,204;3,149;4,799;0,45;0,055;3,226;0,141;2,86;3,727;0,044
jan/16;GLP;22052;R$/13kg;53,947;6,915;35;83;16,374;0,128;37,573;6,672;21,09;60;0,178
jan/16;GNV;1262;R$/m3;2,244;0,22;1,695;3,299;0,607;0,098;1,637;0,206;1,282;2,331;0,126
fev/16;OLEO DIESEL;16325;R$/l;3,017;0,165;2,499;3,9;0,322;0,055;2,695;0,124;2,32;3,326;0,046
fev/16;OLEO DIESEL S10;16430;R$/l;3,158;0,164;2,649;4,02;0,349;0,052;2,809;0,124;2,49;3,596;0,044
fev/16;ETANOL HIDRATADO;22689;R$/l;2,808;0,311;2,199;4,296;0,327;0,111;2,481;0,264;1,95;3,59;0,106
fev/16;GASOLINA COMUM;24756;R$/l;3,71;0,206;3,109;4,799;0,45;0,056;3,26;0,147;2,89;3,771;0,045
fev/16;GLP;23225;R$/13kg;53,941;6,81;35;82;15,97;0,126;37,971;6,638;21,09;60;0,175
fev/16;GNV;1316;R$/m3;2,251;0,233;1,499;3,399;0,608;0,104;1,643;0,208;1,299;2,331;0,127
mar/16;OLEO DIESEL;17219;R$/l;3,02;0,166;2,499;3,98;0,326;0,055;2,694;0,132;2,062;3,35;0,049
mar/16;OLEO DIESEL S10;17561;R$/l;3,164;0,165;2,649;4,25;0,356;0,052;2,808;0,133;2,49;3,644;0,047
mar/16;ETANOL HIDRATADO;24029;R$/l;2,869;0,326;2,259;4,296;0,324;0,114;2,545;0,284;2,05;3,68;0,112
mar/16;GASOLINA COMUM;26434;R$/l;3,73;0,21;3,179;4,84;0,448;0,056;3,282;0,149;2,734;3,792;0,045
mar/16;GLP;26366;R$/13kg;53,871;6,834;35;83;15,637;0,127;38,234;6,744;21,23;59,99;0,176
mar/16;GNV;1462;R$/m3;2,253;0,246;1,789;4,02;0,624;0,109;1,629;0,216;1,273;2,331;0,133
abr/16;OLEO DIESEL;14870;R$/l;3,021;0,171;2,64;3,98;0,324;0,057;2,697;0,13;2,32;3,373;0,048
abr/16;OLEO DIESEL S10;15281;R$/l;3,165;0,17;2,74;4,098;0,353;0,054;2,812;0,134;2,434;3,695;0,048
abr/16;ETANOL HIDRATADO;20839;R$/l;2,741;0,406;1,859;4,296;0,444;0,148;2,297;0,419;1,499;3,83;0,182
abr/16;GASOLINA COMUM;22743;R$/l;3,717;0,219;3,059;4,89;0,458;0,059;3,259;0,162;2,83;3,792;0,05
abr/16;GLP;22042;R$/13kg;53,679;6,857;35;83;15,5;0,128;38,179;6,578;21,529;58,5;0,172
abr/16;GNV;1219;R$/m3;2,251;0,234;1,749;3,09;0,639;0,104;1,612;0,227;1,295;2,351;0,141
mai/16;OLEO DIESEL;17335;R$/l;3,017;0,17;2,46;3,98;0,325;0,056;2,692;0,13;2,059;3,369;0,048
mai/16;OLEO DIESEL S10;18009;R$/l;3,161;0,168;2,499;4,25;0,359;0,053;2,802;0,134;2,336;3,75;0,048
mai/16;ETANOL HIDRATADO;24153;R$/l;2,478;0,479;1,597;4,296;0,433;0,193;2,045;0,406;1,42;3,69;0,199
mai/16;GASOLINA COMUM;26393;R$/l;3,674;0,233;3,047;4,89;0,481;0,063;3,193;0,177;2,59;3,681;0,055
mai/16;GLP;25637;R$/13kg;53,384;6,952;35;83;15,612;0,13;37,772;6,65;21,529;58,5;0,176
mai/16;GNV;1398;R$/m3;2,241;0,241;1,59;3,19;0,623;0,108;1,618;0,228;1,289;2,365;0,141
jun/16;OLEO DIESEL;15839;R$/l;3,015;0,172;2,539;3,98;0,327;0,057;2,688;0,131;2,093;3,353;0,049
jun/16;OLEO DIESEL S10;17125;R$/l;3,159;0,172;2,69;4,09;0,359;0,054;2,8;0,132;2,404;3,75;0,047
jun/16;ETANOL HIDRATADO;22695;R$/l;2,466;0,437;1,749;4,069;0,364;0,177;2,102;0,349;1,584;3,69;0,166
jun/16;GASOLINA COMUM;24764;R$/l;3,646;0,235;3,049;4,89;0,462;0,064;3,184;0,179;2,59;3,718;0,056
jun/16;GLP;23904;R$/13kg;53,122;7,101;34;82;16,059;0,134;37,063;6,568;21,67;68;0,177
jun/16;GNV;1323;R$/m3;2,231;0,238;1,699;3,03;0,662;0,107;1,569;0,235;1,13;2,346;0,15
jul/16;OLEO DIESEL;14537;R$/l;3,013;0,172;2,539;3,98;0,33;0,057;2,683;0,134;2,32;3,339;0,05
jul/16;OLEO DIESEL S10;15905;R$/l;3,156;0,172;2,73;4,25;0,36;0,054;2,796;0,134;2,07;3,688;0,048
jul/16;ETANOL HIDRATADO;20747;R$/l;2,434;0,441;1,79;3,999;0,365;0,181;2,069;0,359;1,574;3,567;0,174
jul/16;GASOLINA COMUM;22686;R$/l;3,638;0,242;3,049;4,89;0,466;0,067;3,172;0,183;2,309;3,8;0,058
jul/16;GLP;22007;R$/13kg;52,878;7,076;34;82;15,817;0,134;37,061;6,536;21,669;61,25;0,176
jul/16;GNV;1222;R$/m3;2,235;0,242;1,695;3,29;0,693;0,108;1,542;0,244;1,125;2,346;0,158
ago/16;OLEO DIESEL;17699;R$/l;3,01;0,171;2,53;3,98;0,336;0,057;2,674;0,135;2,296;3,339;0,05
ago/16;OLEO DIESEL S10;19783;R$/l;3,15;0,171;2,69;4,25;0,364;0,054;2,786;0,135;2,339;3,714;0,048
ago/16;ETANOL HIDRATADO;25529;R$/l;2,485;0,417;1,89;3,999;0,34;0,168;2,145;0,337;1,626;3,57;0,157
ago/16;GASOLINA COMUM;27838;R$/l;3,651;0,237;2,999;4,899;0,461;0,065;3,19;0,185;2,308;3,731;0,058
ago/16;GLP;26997;R$/13kg;52,774;7,039;33;82;15,941;0,133;36,833;6,517;21,67;72;0,177
ago/16;GNV;1460;R$/m3;2,212;0,244;1,688;3,09;0,647;0,11;1,565;0,254;1,19;2,616;0,162
set/16;OLEO DIESEL;14777;R$/l;3,009;0,174;2,53;3,98;0,335;0,058;2,674;0,137;2,36;3,342;0,051
set/16;OLEO DIESEL S10;16519;R$/l;3,15;0,175;2,499;4,25;0,361;0,056;2,789;0,14;2,184;3,74;0,05
set/16;ETANOL HIDRATADO;21236;R$/l;2,51;0,403;1,89;3,999;0,331;0,161;2,179;0,327;1,696;3,47;0,15
set/16;GASOLINA COMUM;23221;R$/l;3,648;0,237;3,01;4,899;0,451;0,065;3,197;0,183;2,59;3,952;0,057
set/16;GLP;22417;R$/13kg;54,688;7,13;35;90;16,997;0,13;37,691;6,591;21,523;72;0,175
set/16;GNV;1222;R$/m3;2,224;0,242;1,699;3,099;0,658;0,109;1,566;0,252;1,15;2,603;0,161
out/16;OLEO DIESEL;15364;R$/l;3,009;0,171;2,53;3,98;0,346;0,057;2,663;0,142;2,37;3,372;0,053
out/16;OLEO DIESEL S10;17774;R$/l;3,148;0,174;2,49;4,25;0,37;0,055;2,778;0,143;2,344;3,741;0,051
out/16;ETANOL HIDRATADO;22402;R$/l;2,676;0,352;1,979;4,2;0,332;0,132;2,344;0,295;1,77;3,591;0,126
out/16;GASOLINA COMUM;24478;R$/l;3,662;0,227;3,049;4,899;0,447;0,062;3,215;0,177;2,59;3,952;0,055
out/16;GLP;24571;R$/13kg;55,343;7,352;35;90;16,796;0,133;38,547;6,633;21,641;79,2;0,172
out/16;GNV;1308;R$/m3;2,201;0,248;1,688;3,09;0,654;0,113;1,547;0,288;1,199;2,603;0,186
nov/16;OLEO DIESEL;16532;R$/l;2,993;0,178;2,459;3,98;0,374;0,059;2,619;0,154;2,19;3,346;0,059
nov/16;OLEO DIESEL S10;18858;R$/l;3,136;0,182;2,599;4,25;0,396;0,058;2,74;0,155;2,29;3,742;0,057
nov/16;ETANOL HIDRATADO;23703;R$/l;2,812;0,332;2,259;4,479;0,322;0,118;2,49;0,283;1,766;3,823;0,114
nov/16;GASOLINA COMUM;26093;R$/l;3,671;0,22;2,999;4,899;0,444;0,06;3,227;0,172;2,59;3,959;0,053
nov/16;GLP;23906;R$/13kg;55,607;7,438;35;90;16,559;0,134;39,048;6,817;21,623;79,2;0,175
nov/16;GNV;1361;R$/m3;2,221;0,245;1,709;3,099;0,678;0,11;1,543;0,239;1,15;2,341;0,155
dez/16;OLEO DIESEL;14528;R$/l;3,024;0,192;2,459;4,07;0,406;0,063;2,618;0,163;2,18;3,389;0,062
dez/16;OLEO DIESEL S10;16936;R$/l;3,17;0,192;2,599;4,25;0,425;0,061;2,745;0,164;2,229;3,627;0,06
dez/16;ETANOL HIDRATADO;20865;R$/l;2,831;0,344;2,299;4,479;0,345;0,122;2,486;0,292;1,984;3,791;0,117
dez/16;GASOLINA COMUM;23221;R$/l;3,734;0,226;3,099;4,899;0,458;0,061;3,276;0,172;2,59;3,793;0,053
dez/16;GLP;22855;R$/13kg;55,601;7,383;35;90;16,367;0,133;39,234;6,593;21,675;79,2;0,168
dez/16;GNV;1156;R$/m3;2,214;0,263;1,749;3,22;0,648;0,119;1,566;0,289;1,163;2,72;0,185
jan/17;OLEO DIESEL;16537;R$/l;3,092;0,192;2,459;4,22;0,376;0,062;2,716;0,152;2,19;3,442;0,056
jan/17;OLEO DIESEL S10;19362;R$/l;3,239;0,194;2,59;4,299;0,399;0,06;2,84;0,155;2,299;3,75;0,055
jan/17;ETANOL HIDRATADO;23751;R$/l;2,91;0,346;2,259;4,489;0,347;0,119;2,563;0,29;1,983;3,915;0,113
jan/17;GASOLINA COMUM;26373;R$/l;3,768;0,229;3,139;4,949;0,434;0,061;3,334;0,17;2,34;3,921;0,051
jan/17;GLP;24872;R$/13kg;55,611;7,484;35,9;95;16,044;0,135;39,567;6,687;21,675;79,2;0,169
jan/17;GNV;1300;R$/m3;2,218;0,265;1,729;3,2;0,648;0,119;1,57;0,28;1,178;2,69;0,178
fev/17;OLEO DIESEL;12558;R$/l;3,098;0,192;2,55;4,22;0,395;0,062;2,703;0,149;2,19;3,442;0,055
fev/17;OLEO DIESEL S10;14897;R$/l;3,241;0,193;2,69;4,26;0,417;0,06;2,824;0,152;2,374;3,703;0,054
fev/17;ETANOL HIDRATADO;18374;R$/l;2,884;0,37;2,239;4,489;0,366;0,128;2,518;0,309;2;3,928;0,123
fev/17;GASOLINA COMUM;20404;R$/l;3,755;0,229;3,09;4,799;0,447;0,061;3,308;0,172;2,59;3,874;0,052
fev/17;GLP;20446;R$/13kg;55,488;7,511;35,9;95;16,096;0,135;39,392;6,803;21,675;79,2;0,173
fev/17;GNV;1001;R$/m3;2,284;0,265;1,749;3,099;0,703;0,116;1,581;0,251;1,172;2,346;0,159
mar/17;OLEO DIESEL;16837;R$/l;3,05;0,202;2,459;4,22;0,428;0,066;2,622;0,155;2,233;3,281;0,059
mar/17;OLEO DIESEL S10;20040;R$/l;3,191;0,203;2,589;4,26;0,45;0,064;2,741;0,162;2,3;3,703;0,059
mar/17;ETANOL HIDRATADO;24159;R$/l;2,745;0,418;1,999;4,429;0,386;0,152;2,359;0,361;1,785;4,14;0,153
mar/17;GASOLINA COMUM;27073;R$/l;3,687;0,244;3,079;4,999;0,469;0,066;3,218;0,185;2,59;3,809;0,057
mar/17;GLP;26249;R$/13kg;55,679;7,614;35;93;16,397;0,137;39,282;6,776;21,675;79,2;0,172
mar/17;GNV;1361;R$/m3;2,302;0,258;1,789;3,099;0,668;0,112;1,634;0,223;1,22;2,3;0,136
abr/17;OLEO DIESEL;14006;R$/l;3,015;0,201;2,48;4,22;0,437;0,067;2,578;0,144;2,211;3,221;0,056
abr/17;OLEO DIESEL S10;16848;R$/l;3,156;0,201;2,589;4,26;0,462;0,064;2,694;0,154;2,3;3,589;0,057
abr/17;ETANOL HIDRATADO;20290;R$/l;2,639;0,423;1,899;4,299;0,383;0,16;2,256;0,354;1,74;3,947;0,157
abr/17;GASOLINA COMUM;22713;R$/l;3,635;0,243;2,99;4,999;0,464;0,067;3,171;0,189;2,59;3,858;0,06
abr/17;GLP;22039;R$/13kg;57,187;7,771;35;93;16,942;0,136;40,245;6,767;23,769;79,2;0,168
abr/17;GNV;1129;R$/m3;2,298;0,256;1,789;3,099;0,634;0,111;1,664;0,223;1,252;2,299;0,134
mai/17;OLEO DIESEL;16949;R$/l;3,017;0,197;2,48;4,22;0,406;0,065;2,611;0,136;2,22;3,23;0,052
mai/17;OLEO DIESEL S10;20721;R$/l;3,153;0,2;2,59;4,26;0,432;0,063;2,721;0,15;2,29;3,666;0,055
mai/17;ETANOL HIDRATADO;24694;R$/l;2,584;0,427;1,87;4,238;0,375;0,165;2,209;0,351;1,687;3,836;0,159
mai/17;GASOLINA COMUM;27610;R$/l;3,617;0,252;2,96;4,999;0,451;0,07;3,166;0,197;2,59;3,856;0,062
mai/17;GLP;26642;R$/13kg;57,206;7,868;38;105;16,633;0,138;40,573;6,798;23,769;89,9;0,168
mai/17;GNV;1353;R$/m3;2,316;0,261;1,789;3,099;0,686;0,113;1,63;0,223;1,24;2,314;0,137
jun/17;OLEO DIESEL;14266;R$/l;2,985;0,204;2,459;4,22;0,432;0,068;2,553;0,149;2,11;3,21;0,058
jun/17;OLEO DIESEL S10;17642;R$/l;3,121;0,206;2,52;4,26;0,452;0,066;2,669;0,161;2,181;3,666;0,06
jun/17;ETANOL HIDRATADO;20905;R$/l;2,485;0,454;1,79;4,157;0,369;0,183;2,116;0,361;1,65;3,582;0,171
jun/17;GASOLINA COMUM;23375;R$/l;3,548;0,269;2,88;4,799;0,458;0,076;3,09;0,209;2,59;3,792;0,068
jun/17;GLP;22954;R$/13kg;57,379;7,837;39,99;105;16,483;0,137;40,896;6,777;23,76;70;0,166
jun/17;GNV;1123;R$/m3;2,334;0,267;1,78;3,099;0,684;0,114;1,65;0,209;1,31;2,3;0,127
jul/17;OLEO DIESEL;14223;R$/l;2,971;0,219;2,39;4,27;0,474;0,074;2,497;0,166;2,04;3,195;0,066
jul/17;OLEO DIESEL S10;17813;R$/l;3,101;0,219;2,449;4,29;0,491;0,071;2,61;0,177;2,15;3,624;0,068
jul/17;ETANOL HIDRATADO;20953;R$/l;2,46;0,452;1,699;4,157;0,388;0,184;2,072;0,366;1,582;3,712;0,177
jul/17;GASOLINA COMUM;23377;R$/l;3,553;0,304;2,799;4,95;0,506;0,086;3,047;0,231;2,538;3,855;0,076
jul/17;GLP;22833;R$/13kg;57,526;7,998;39,99;105;16,519;0,139;41,007;6,684;24;75;0,163
jul/17;GNV;1135;R$/m3;2,342;0,275;1,7;3,099;0,616;0,117;1,726;0,221;1,245;2,632;0,128
ago/17;OLEO DIESEL;8423;R$/l;3,102;0,213;2,45;4,37;0,404;0,069;2,698;0,173;2,09;3,44;0,064
ago/17;OLEO DIESEL S10;11466;R$/l;3,237;0,209;2,589;4,39;0,423;0,065;2,814;0,175;2,19;3,606;0,062
ago/17;ETANOL HIDRATADO;13220;R$/l;2,611;0,406;1,889;4,444;0,383;0,155;2,228;0,332;1,63;3,747;0,149
ago/17;GASOLINA COMUM;14838;R$/l;3,781;0,265;2,999;5,1;0,45;0,07;3,331;0,219;2,54;4,034;0,066
ago/17;GLP;12038;R$/13kg;57,601;7,946;39,99;105;16,661;0,138;40,94;6,891;23,55;84;0,168
ago/17;GNV;841;R$/m3;2,368;0,274;1,78;3,15;0,626;0,116;1,742;0,201;1,353;2,248;0,115
set/17;OLEO DIESEL;7041;R$/l;3,173;0,205;2,64;4,47;0,384;0,065;2,789;0,162;2,208;3,52;0,058
set/17;OLEO DIESEL S10;9666;R$/l;3,309;0,208;2,739;4,499;0,403;0,063;2,906;0,164;2,368;3,737;0,056
set/17;ETANOL HIDRATADO;11187;R$/l;2,633;0,4;1,939;4,25;0,365;0,152;2,268;0,325;1,63;3,763;0,143
set/17;GASOLINA COMUM;12508;R$/l;3,881;0,253;3,099;5,2;0,459;0,065;3,422;0,195;2,8;4,025;0,057
set/17;GLP;10270;R$/13kg;59,451;8,428;39,99;110;17,578;0,142;41,873;7,135;25;75;0,17
set/17;GNV;703;R$/m3;2,376;0,277;1,78;3,099;0,621;0,117;1,755;0,199;1,33;2,35;0,113
out/17;OLEO DIESEL;8586;R$/l;3,223;0,195;2,699;4,47;0,356;0,061;2,867;0,135;2,34;3,56;0,047
out/17;OLEO DIESEL S10;11914;R$/l;3,353;0,203;2,749;4,499;0,369;0,061;2,984;0,14;2,444;3,912;0,047
out/17;ETANOL HIDRATADO;13725;R$/l;2,668;0,384;1,999;4,299;0,356;0,144;2,312;0,308;1,683;3,818;0,133
out/17;GASOLINA COMUM;15370;R$/l;3,895;0,25;3,199;5,2;0,438;0,064;3,457;0,196;2,79;4,15;0,057
out/17;GLP;12365;R$/13kg;63,208;9,029;40;115;18,754;0,143;44,454;7,622;23,55;78;0,171
out/17;GNV;855;R$/m3;2,387;0,286;1,74;2,999;0,65;0,12;1,737;0,2;1,365;2,297;0,115
nov/17;OLEO DIESEL;7139;R$/l;3,29;0,209;2,789;4,47;0,363;0,064;2,927;0,146;2,41;3,702;0,05
nov/17;OLEO DIESEL S10;10001;R$/l;3,421;0,215;2,86;4,528;0,379;0,063;3,042;0,152;2,54;3,959;0,05
nov/17;ETANOL HIDRATADO;11431;R$/l;2,79;0,362;1,99;4,399;0,372;0,13;2,418;0,281;1,687;4,457;0,116
nov/17;GASOLINA COMUM;12806;R$/l;4,004;0,261;3,199;5,2;0,44;0,065;3,564;0,209;2,79;4,203;0,059
nov/17;GLP;10707;R$/13kg;65,186;8,769;45;115;18,216;0,135;46,97;7,54;30;85;0,161
nov/17;GNV;684;R$/m3;2,42;0,278;1,76;3,1;0,651;0,115;1,769;0,199;1,365;2,269;0,112
dez/17;OLEO DIESEL;6905;R$/l;3,323;0,205;2,89;4,47;0,378;0,062;2,945;0,147;2,133;3,726;0,05
dez/17;OLEO DIESEL S10;9740;R$/l;3,455;0,213;2,799;4,52;0,399;0,062;3,056;0,152;2,59;4,14;0,05
dez/17;ETANOL HIDRATADO;11153;R$/l;2,879;0,344;1,99;4,399;0,361;0,119;2,518;0,275;1,69;4,457;0,109
dez/17;GASOLINA COMUM;12542;R$/l;4,085;0,256;3,399;5,2;0,432;0,063;3,653;0,203;2,99;4,366;0,056
dez/17;GLP;10252;R$/13kg;66,529;8,957;45;115;18,464;0,135;48,065;7,832;30;85;0,163
dez/17;GNV;686;R$/m3;2,421;0,29;1,76;3,199;0,68;0,12;1,741;0,214;1,446;2,468;0,123
jan/18;OLEO DIESEL;15772;R$/l;3,375;0,202;2,799;4,49;0,363;0,06;3,012;0,153;2,49;3,812;0,051
jan/18;OLEO DIESEL S10;21383;R$/l;3,498;0,205;2,94;4,77;0,392;0,059;3,106;0,154;2,52;4,162;0,05
jan/18;ETANOL HIDRATADO;24362;R$/l;2,984;0,347;2,197;4,739;0,346;0,116;2,638;0,28;1,69;3,908;0,106
jan/18;GASOLINA COMUM;27471;R$/l;4,189;0,268;3,499;5,15;0,437;0,064;3,752;0,211;2,904;4,42;0,056
jan/18;GLP;21209;R$/13kg;67,306;8,794;45;120;18,09;0,131;49,216;7,758;30;94,5;0,158
jan/18;GNV;1452;R$/m3;2,468;0,3;1,76;3,299;0,688;0,122;1,78;0,206;1,244;2,531;0,116
fev/18;OLEO DIESEL;13194;R$/l;3,388;0,207;2,799;4,479;0,397;0,061;2,991;0,161;2,49;3,733;0,054
fev/18;OLEO DIESEL S10;17837;R$/l;3,51;0,208;2,899;4,77;0,421;0,059;3,089;0,166;2,59;4,131;0,054
fev/18;ETANOL HIDRATADO;20370;R$/l;3,023;0,361;2,199;4,739;0,332;0,119;2,691;0,303;2,04;4,007;0,113
fev/18;GASOLINA COMUM;23032;R$/l;4,208;0,268;3,479;5,2;0,452;0,064;3,756;0,213;2,99;4,439;0,057
fev/18;GLP;17028;R$/13kg;66,803;8,834;45;120;17,158;0,132;49,645;7,769;31,56;94,5;0,156
fev/18;GNV;1250;R$/m3;2,519;0,302;1,799;3,299;0,695;0,12;1,824;0,226;1,244;2,492;0,124
mar/18;OLEO DIESEL;13454;R$/l;3,383;0,209;2,89;4,479;0,409;0,062;2,974;0,16;2,49;3,686;0,054
mar/18;OLEO DIESEL S10;18582;R$/l;3,502;0,21;2,94;4,77;0,432;0,06;3,07;0,161;2,493;4,078;0,052
mar/18;ETANOL HIDRATADO;21290;R$/l;3,032;0,373;2,17;4,739;0,318;0,123;2,714;0,313;1,69;4,007;0,115
mar/18;GASOLINA COMUM;24090;R$/l;4,199;0,283;3,479;5,2;0,426;0,067;3,773;0,227;2,99;4,527;0,06
mar/18;GLP;18471;R$/13kg;66,79;8,617;45;120;17,314;0,129;49,476;7,851;30;94,5;0,159
mar/18;GNV;1254;R$/m3;2,551;0,32;1,81;3,399;0,718;0,125;1,833;0,237;1,276;2,531;0,129
abr/18;OLEO DIESEL;14351;R$/l;3,432;0,213;2,89;4,7;0,353;0,062;3,079;0,166;2,49;3,872;0,054
abr/18;OLEO DIESEL S10;19789;R$/l;3,518;0,213;2,94;4,97;0,37;0,061;3,148;0,165;2,59;4,279;0,052
abr/18;ETANOL HIDRATADO;22233;R$/l;2,972;0,41;2,099;4,79;0,392;0,138;2,58;0,39;1,935;4,283;0,151
abr/18;GASOLINA COMUM;25483;R$/l;4,215;0,292;3,397;5,2;0,414;0,069;3,801;0,231;2,99;4,572;0,061
abr/18;GLP;18469;R$/13kg;66,985;8,548;45;120;17,068;0,128;49,917;7,444;30;94,5;0,149
abr/18;GNV;1277;R$/m3;2,562;0,322;1,83;3,399;0,694;0,126;1,868;0,231;1,345;2,498;0,124
mai/18;OLEO DIESEL;11820;R$/l;3,629;0,236;2,99;5,2;0,359;0,065;3,27;0,183;2,49;4,1;0,056
mai/18;OLEO DIESEL S10;16615;R$/l;3,715;0,232;3,049;5,3;0,373;0,062;3,342;0,178;2,59;4,478;0,053
mai/18;ETANOL HIDRATADO;18501;R$/l;2,811;0,474;2,079;4,799;0,434;0,169;2,377;0,397;1,88;4,002;0,167
mai/18;GASOLINA COMUM;21203;R$/l;4,314;0,307;3,369;5,459;0,426;0,071;3,888;0,243;2,99;4,836;0,063
mai/18;GLP;16737;R$/13kg;66,957;8,67;45;115;16,651;0,129;50,306;7,386;30;94,5;0,147
mai/18;GNV;1171;R$/m3;2,64;0,326;1,86;3,5;0,761;0,123;1,879;0,23;1,317;2,495;0,122
jun/18;OLEO DIESEL;12229;R$/l;3,424;0,227;2,89;4,859;0,331;0,066;3,093;0,19;2,44;4,1;0,061
jun/18;OLEO DIESEL S10;17131;R$/l;3,506;0,218;2,839;5,08;0,348;0,062;3,158;0,183;2,596;4,306;0,058
jun/18;ETANOL HIDRATADO;19261;R$/l;2,933;0,426;2,179;4,947;0,411;0,145;2,522;0,353;1,97;4,195;0,14
jun/18;GASOLINA COMUM;22757;R$/l;4,552;0,271;3,599;5,599;0,509;0,06;4,043;0,23;3,302;4,832;0,057
jun/18;GLP;16666;R$/13kg;68,766;8,264;49,9;115;18,497;0,12;50,269;7,193;30;83;0,143
jun/18;GNV;1187;R$/m3;2,685;0,336;1,969;3,89;0,767;0,125;1,918;0,243;1,317;2,582;0,127
jul/18;OLEO DIESEL;14131;R$/l;3,382;0,202;2,89;4,449;0,331;0,06;3,051;0,151;2,62;3,872;0,049
jul/18;OLEO DIESEL S10;20180;R$/l;3,46;0,194;2,93;4,565;0,348;0,056;3,112;0,145;2,773;4,068;0,047
jul/18;ETANOL HIDRATADO;22282;R$/l;2,785;0,489;1,99;4,947;0,413;0,176;2,372;0,415;1,801;3,877;0,175
jul/18;GASOLINA COMUM;25523;R$/l;4,492;0,294;3,649;5,599;0,459;0,065;4,033;0,236;2,99;4,825;0,059
