MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
ago/13;ETANOL HIDRATADO;33169;R$/l;1,902;0,303;1,259;3,12;0,325;0,159;1,577;0,275;1,154;2,396;0,174
ago/13;GASOLINA COMUM;35609;R$/l;2,835;0,169;2,349;3,699;0,401;0,06;2,434;0,117;2,082;2,95;0,048
ago/13;GLP;33888;R$/13kg;40,975;4,248;27;62;10,958;0,104;30,017;4,853;14,66;45;0,162
ago/13;GNV;2135;R$/m3;1,785;0,17;1,399;2,799;0,403;0,095;1,382;0,164;0,93;1,949;0,119
set/13;OLEO DIESEL;27230;R$/l;2,331;0,116;1,989;3,06;0,28;0,05;2,051;0,083;1,72;2,656;0,04
set/13;OLEO DIESEL S10;12131;R$/l;2,43;0,119;2,176;3,15;0,271;0,049;2,159;0,082;1,923;2,674;0,038
set/13;ETANOL HIDRATADO;34648;R$/l;1,895;0,302;1,279;3,02;0,31;0,159;1,585;0,258;1,184;2,515;0,163
set/13;GASOLINA COMUM;37335;R$/l;2,834;0,168;2,37;3,699;0,4;0,059;2,434;0,116;2,025;2,942;0,048
set/13;GLP;33009;R$/13kg;41,532;4,391;26;62;11,579;0,106;29,953;5,039;14,66;45;0,168
set/13;GNV;2236;R$/m3;1,787;0,177;1,399;2,699;0,413;0,099;1,374;0,184;1;2,265;0,134
out/13;OLEO DIESEL;29298;R$/l;2,332;0,117;1,949;3,06;0,283;0,05;2,049;0,084;1,48;2,656;0,041
out/13;OLEO DIESEL S10;13591;R$/l;2,428;0,12;1,938;3,15;0,272;0,049;2,156;0,085;1,966;2,674;0,039
out/13;ETANOL HIDRATADO;37563;R$/l;1,914;0,289;1,396;2,999;0,289;0,151;1,625;0,239;1,219;2,456;0,147
out/13;GASOLINA COMUM;40480;R$/l;2,834;0,169;2,35;3,699;0,392;0,06;2,442;0,115;2,025;2,972;0,047
out/13;GLP;38944;R$/13kg;42,112;4,323;26;62;11,894;0,103;30,218;5,192;14,66;45;0,172
out/13;GNV;2461;R$/m3;1,79;0,18;1,389;2,699;0,413;0,101;1,377;0,188;1,011;2,265;0,137
nov/13;OLEO DIESEL;24764;R$/l;2,332;0,117;1,989;3,06;0,282;0,05;2,05;0,083;1,72;2,656;0,04
nov/13;OLEO DIESEL S10;11969;R$/l;2,428;0,121;2,026;3,1;0,272;0,05;2,156;0,083;1,908;2,675;0,038
nov/13;ETANOL HIDRATADO;32090;R$/l;1,932;0,282;1,379;2,999;0,292;0,146;1,64;0,232;1,23;2,416;0,141
nov/13;GASOLINA COMUM;34574;R$/l;2,841;0,166;2,33;3,99;0,395;0,058;2,446;0,115;2,025;2,961;0,047
nov/13;GLP;31958;R$/13kg;42,337;4,39;28;62;11,988;0,104;30,349;5,233;15,93;45;0,172
nov/13;GNV;2072;R$/m3;1,792;0,181;1,389;2,699;0,414;0,101;1,378;0,188;1,011;2,265;0,136
dez/13;OLEO DIESEL;28394;R$/l;2,466;0,126;2,036;3,27;0,322;0,051;2,144;0,1;1,72;2,779;0,047
dez/13;OLEO DIESEL S10;14626;R$/l;2,57;0,131;2,159;3,39;0,31;0,051;2,26;0,103;1,924;2,808;0,046
dez/13;ETANOL HIDRATADO;36734;R$/l;2,022;0,252;1,579;3,028;0,294;0,125;1,728;0,216;1,297;2,437;0,125
dez/13;GASOLINA COMUM;39688;R$/l;2,946;0,155;2,419;4,079;0,426;0,053;2,52;0,114;2,131;3,037;0,045
dez/13;GLP;35736;R$/13kg;42,444;4,338;27;62;11,952;0,102;30,492;5,073;14,663;45,19;0,166
dez/13;GNV;2301;R$/m3;1,812;0,207;1,349;2,89;0,434;0,114;1,378;0,189;1,011;2,265;0,137
jan/14;OLEO DIESEL;26880;R$/l;2,485;0,126;2,099;3,31;0,295;0,051;2,19;0,09;1,881;2,85;0,041
jan/14;OLEO DIESEL S10;14469;R$/l;2,59;0,128;2,245;3,39;0,286;0,049;2,304;0,085;1,989;2,9;0,037
jan/14;ETANOL HIDRATADO;35088;R$/l;2,047;0,249;1,555;3,02;0,277;0,122;1,77;0,215;1,298;2,481;0,121
jan/14;GASOLINA COMUM;38021;R$/l;2,956;0,156;2,528;4,099;0,405;0,053;2,551;0,109;2,2;3,062;0,043
jan/14;GLP;36128;R$/13kg;42,484;4,378;27;65;11,945;0,103;30,539;5,321;14,663;53;0,174
jan/14;GNV;2345;R$/m3;1,825;0,204;1,339;2,899;0,424;0,112;1,401;0,182;1,031;1,995;0,13
fev/14;OLEO DIESEL;24397;R$/l;2,491;0,126;2,149;3,31;0,294;0,051;2,197;0,089;1,904;2,962;0,041
fev/14;OLEO DIESEL S10;13688;R$/l;2,596;0,127;2,25;3,39;0,28;0,049;2,316;0,087;1,934;3,071;0,038
fev/14;ETANOL HIDRATADO;31777;R$/l;2,074;0,242;1,599;3,15;0,27;0,117;1,804;0,215;1,45;2,553;0,119
fev/14;GASOLINA COMUM;34536;R$/l;2,955;0,158;2,499;4,159;0,395;0,053;2,56;0,113;2,224;3,306;0,044
fev/14;GLP;31905;R$/13kg;42,613;4,42;28;65;12,031;0,104;30,582;5,227;14,324;53;0,171
fev/14;GNV;2108;R$/m3;1,83;0,203;1,399;2,899;0,422;0,111;1,408;0,178;1,031;2,042;0,126
mar/14;OLEO DIESEL;25621;R$/l;2,497;0,126;2,145;3,31;0,298;0,05;2,199;0,091;1,95;2,881;0,041
mar/14;OLEO DIESEL S10;15498;R$/l;2,601;0,125;2,253;3,39;0,291;0,048;2,31;0,085;2,116;2,929;0,037
mar/14;ETANOL HIDRATADO;33549;R$/l;2,168;0,222;1,769;3,15;0,27;0,102;1,898;0,202;1,512;2,678;0,106
mar/14;GASOLINA COMUM;36567;R$/l;2,98;0,15;2,499;4,159;0,395;0,05;2,585;0,108;2,212;3,105;0,042
mar/14;GLP;33383;R$/13kg;42,631;4,44;28;70;12,152;0,104;30,479;5,149;14,663;53;0,169
mar/14;GNV;2238;R$/m3;1,841;0,209;1,399;2,899;0,407;0,114;1,434;0,195;1,039;2,315;0,136
abr/14;OLEO DIESEL;28234;R$/l;2,502;0,129;2,12;3,31;0,303;0,052;2,199;0,094;1,806;2,881;0,043
abr/14;OLEO DIESEL S10;18171;R$/l;2,608;0,126;2,299;3,39;0,296;0,048;2,312;0,088;2,068;2,929;0,038
abr/14;ETANOL HIDRATADO;37283;R$/l;2,177;0,24;1,499;3,17;0,294;0,11;1,883;0,23;1,356;2,741;0,122
abr/14;GASOLINA COMUM;40925;R$/l;2,988;0,152;2,49;4,159;0,394;0,051;2,594;0,106;2,213;3,2;0,041
abr/14;GLP;38192;R$/13kg;42,672;4,464;29;65;12,221;0,105;30,451;5,466;14,2;53;0,18
abr/14;GNV;2550;R$/m3;1,859;0,213;1,399;2,899;0,427;0,115;1,432;0,189;1,039;1,995;0,132
mai/14;OLEO DIESEL;23865;R$/l;2,5;0,129;2,15;3,31;0,301;0,052;2,199;0,095;1,896;2,881;0,043
mai/14;OLEO DIESEL S10;15424;R$/l;2,609;0,128;2,279;3,39;0,297;0,049;2,312;0,092;2,023;2,957;0,04
mai/14;ETANOL HIDRATADO;31337;R$/l;2,134;0,267;1,51;3,17;0,333;0,125;1,801;0,273;1,3;2,741;0,152
mai/14;GASOLINA COMUM;34438;R$/l;2,978;0,157;2,1;4,159;0,389;0,053;2,589;0,109;2,27;3,163;0,042
mai/14;GLP;31804;R$/13kg;42,664;4,612;29,9;65;12,319;0,108;30,345;5,673;16,24;55;0,187
mai/14;GNV;2092;R$/m3;1,871;0,213;1,399;2,699;0,451;0,114;1,42;0,179;1,09;2,042;0,126
jun/14;OLEO DIESEL;25010;R$/l;2,5;0,128;2,149;3,31;0,304;0,051;2,196;0,094;1,88;2,881;0,043
jun/14;OLEO DIESEL S10;16913;R$/l;2,609;0,127;2,299;3,4;0,295;0,049;2,314;0,09;1,95;2,975;0,039
jun/14;ETANOL HIDRATADO;33237;R$/l;2,071;0,294;1,549;3,17;0,341;0,142;1,73;0,276;1,342;2,741;0,16
jun/14;GASOLINA COMUM;36480;R$/l;2,966;0,163;2,499;4,159;0,393;0,055;2,573;0,11;2,25;3,163;0,043
jun/14;GLP;32784;R$/13kg;42,692;4,65;29,9;65;12,273;0,109;30,419;5,738;14,663;55;0,189
jun/14;GNV;2222;R$/m3;1,888;0,209;1,399;2,699;0,448;0,111;1,44;0,184;1,092;2,042;0,128
jul/14;OLEO DIESEL;27942;R$/l;2,499;0,13;2,15;3,31;0,303;0,052;2,196;0,094;1,88;2,769;0,043
jul/14;OLEO DIESEL S10;19379;R$/l;2,61;0,128;2,299;3,4;0,292;0,049;2,318;0,09;1,95;2,883;0,039
jul/14;ETANOL HIDRATADO;37356;R$/l;2,042;0,299;1,559;3,2;0,319;0,146;1,723;0,26;1,359;2,629;0,151
jul/14;GASOLINA COMUM;40985;R$/l;2,957;0,171;2,488;4,169;0,393;0,058;2,564;0,113;2,23;3,167;0,044
jul/14;GLP;38671;R$/13kg;42,657;4,712;28;65;12,324;0,11;30,333;5,874;14,66;55;0,194
jul/14;GNV;2546;R$/m3;1,892;0,191;1,399;2,799;0,455;0,101;1,437;0,188;1,073;2,042;0,131
ago/14;OLEO DIESEL;23265;R$/l;2,501;0,13;2,15;3,31;0,296;0,052;2,205;0,095;1,991;2,769;0,043
ago/14;OLEO DIESEL S10;16759;R$/l;2,633;0,128;2,216;3,4;0,295;0,049;2,338;0,09;2,103;2,883;0,038
ago/14;ETANOL HIDRATADO;31294;R$/l;2,034;0,302;1,559;3,2;0,318;0,148;1,716;0,263;1,36;2,663;0,153
ago/14;GASOLINA COMUM;34448;R$/l;2,96;0,169;2,488;4,169;0,399;0,057;2,561;0,113;2,24;3,153;0,044
ago/14;GLP;31735;R$/13kg;42,638;4,683;28;65;12,178;0,11;30,46;5,809;14,66;55;0,191
ago/14;GNV;2134;R$/m3;1,916;0,182;1,399;2,799;0,468;0,095;1,448;0,182;1,085;2,048;0,126
set/14;OLEO DIESEL;26629;R$/l;2,501;0,13;2,19;3,31;0,295;0,052;2,206;0,097;1,91;2,891;0,044
set/14;OLEO DIESEL S10;19813;R$/l;2,64;0,126;2,199;3,4;0,296;0,048;2,344;0,09;2,073;2,981;0,038
set/14;ETANOL HIDRATADO;35737;R$/l;2,005;0,305;1,499;3,2;0,309;0,152;1,696;0,267;1,34;2,502;0,157
set/14;GASOLINA COMUM;39519;R$/l;2,963;0,165;2,499;4,169;0,404;0,056;2,559;0,116;2,22;3,136;0,045
set/14;GLP;35430;R$/13kg;43,7;5,025;28;69;12,932;0,115;30,768;5,919;14,66;55;0,192
set/14;GNV;2412;R$/m3;1,9;0,179;1,399;2,799;0,457;0,094;1,443;0,162;1,085;2,145;0,112
out/14;OLEO DIESEL;25424;R$/l;2,5;0,131;2,19;3,31;0,293;0,052;2,207;0,1;1,939;2,891;0,045
out/14;OLEO DIESEL S10;19247;R$/l;2,64;0,127;2,329;3,4;0,298;0,048;2,342;0,093;2,032;2,981;0,04
out/14;ETANOL HIDRATADO;34305;R$/l;1,999;0,308;1,47;3,17;0,33;0,154;1,669;0,28;1,275;2,673;0,168
out/14;GASOLINA COMUM;37883;R$/l;2,96;0,166;2,45;4,159;0,403;0,056;2,557;0,115;2,22;3,298;0,045
out/14;GLP;35862;R$/13kg;44,432;5,049;29;69;13,278;0,114;31,154;5,902;14,66;55;0,189
out/14;GNV;2370;R$/m3;1,903;0,175;1,379;2,799;0,461;0,092;1,442;0,164;1,118;2,048;0,114
nov/14;OLEO DIESEL;22960;R$/l;2,564;0,142;2,199;3,44;0,312;0,055;2,252;0,11;1,982;2,976;0,049
nov/14;OLEO DIESEL S10;17971;R$/l;2,713;0,14;2,349;3,56;0,323;0,052;2,39;0,106;2,046;2,9;0,044
nov/14;ETANOL HIDRATADO;31032;R$/l;2,016;0,303;1,47;3,43;0,349;0,15;1,667;0,273;1,315;2,673;0,164
nov/14;GASOLINA COMUM;34316;R$/l;3,009;0,17;2,45;4,369;0,43;0,056;2,579;0,117;2,24;3,171;0,045
nov/14;GLP;31595;R$/13kg;44,596;5,098;30;69;13,194;0,114;31,402;5,968;14,66;55;0,19
nov/14;GNV;2102;R$/m3;1,907;0,183;1,379;2,889;0,467;0,096;1,44;0,17;1,113;2,048;0,118
dez/14;OLEO DIESEL;28340;R$/l;2,606;0,135;2,199;3,46;0,302;0,052;2,304;0,103;2,016;2,913;0,045
dez/14;OLEO DIESEL S10;22849;R$/l;2,756;0,134;2,37;3,59;0,317;0,049;2,439;0,103;2,049;3,118;0,042
dez/14;ETANOL HIDRATADO;38670;R$/l;2,041;0,292;1,599;3,328;0,316;0,143;1,725;0,246;1,35;2,786;0,143
dez/14;GASOLINA COMUM;42745;R$/l;3,031;0,171;2,499;4,299;0,424;0,056;2,607;0,121;2,223;3,218;0,046
dez/14;GLP;39145;R$/13kg;44,701;5,044;29,99;69;13,262;0,113;31,439;5,919;14,66;51,5;0,188
dez/14;GNV;2642;R$/m3;1,913;0,181;1,379;2,889;0,455;0,095;1,458;0,17;1,113;2,048;0,117
jan/15;OLEO DIESEL;22914;R$/l;2,611;0,137;2,13;3,46;0,294;0,052;2,317;0,103;1,941;3,034;0,044
jan/15;OLEO DIESEL S10;18498;R$/l;2,763;0,134;2,099;3,59;0,305;0,048;2,458;0,101;2,124;3,118;0,041
jan/15;ETANOL HIDRATADO;31032;R$/l;2,061;0,286;1,599;3,32;0,295;0,139;1,766;0,238;1,395;2,786;0,135
jan/15;GASOLINA COMUM;34414;R$/l;3,032;0,171;2,499;4,299;0,408;0,056;2,624;0,119;2,21;3,218;0,045
jan/15;GLP;31967;R$/13kg;44,673;5,094;30;69;13,254;0,114;31,419;5,92;14,66;51,5;0,188
jan/15;GNV;2099;R$/m3;1,926;0,182;1,379;2,889;0,486;0,094;1,44;0,179;1,096;2,048;0,124
fev/15;OLEO DIESEL;22554;R$/l;2,788;0,154;2,199;3,74;0,374;0,055;2,414;0,125;2,04;3,092;0,052
fev/15;OLEO DIESEL S10;18824;R$/l;2,937;0,148;2,099;3,75;0,381;0,05;2,556;0,124;2,12;3,285;0,049
fev/15;ETANOL HIDRATADO;30770;R$/l;2,224;0,267;1,63;3,61;0,354;0,12;1,87;0,23;1,338;2,757;0,123
fev/15;GASOLINA COMUM;34078;R$/l;3,301;0,187;2,35;4,52;0,508;0,057;2,793;0,159;2,237;3,437;0,057
fev/15;GLP;31577;R$/13kg;44,892;5,2;30;69;13,331;0,116;31,561;6,029;14,66;51,5;0,191
fev/15;GNV;2156;R$/m3;1,944;0,175;1,379;2,889;0,494;0,09;1,45;0,176;1,096;2,048;0,121
mar/15;OLEO DIESEL;25823;R$/l;2,81;0,147;2,299;3,7;0,334;0,052;2,476;0,112;2,041;3,213;0,045
